=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
  83:            44           2464  com.sun.tools.javac.main.Option (jdk.compiler@17.0.15)
  84:            92           2208  java.time.LocalDate (java.base@17.0.15)
  85:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.15)
  86:            67           2144  javax.management.MBeanAttributeInfo (java.management@17.0.15)
  87:           128           2048  java.lang.Character (java.base@17.0.15)
  88:            42           2016  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@17.0.15)
  89:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.15)
  90:            79           1896  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.15)
  91:            38           1520  com.sun.tools.javac.code.Source$Feature (jdk.compiler@17.0.15)
  92:            38           1520  javax.management.MBeanOperationInfo (java.management@17.0.15)
  93:            27           1512  java.util.LinkedHashMap (java.base@17.0.15)
  94:            62           1488  java.lang.module.ResolvedModule (java.base@17.0.15)
  95:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.15)
  96:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.15)
  97:            61           1456  [Ljavax.management.ObjectName$Property; (java.management@17.0.15)
  98:            60           1440  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.15)
  99:            30           1440  java.time.temporal.ValueRange (java.base@17.0.15)
 100:            45           1440  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.15)
 101:            44           1408  java.lang.ref.ReferenceQueue (java.base@17.0.15)
 102:             1           1392  [[B (java.base@17.0.15)
 103:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.15)
 104:            42           1344  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@17.0.15)
 105:            42           1344  javax.management.MBeanParameterInfo (java.management@17.0.15)
 106:            45           1336  [Ljavax.management.MBeanOperationInfo; (java.management@17.0.15)
 107:            53           1272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@17.0.15)
 108:            26           1248  java.util.TreeMap (java.base@17.0.15)
 109:            54           1216  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 110:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.15)
 111:            30           1200  java.time.temporal.ChronoField (java.base@17.0.15)
 112:            38           1184  [Ljava.math.BigInteger; (java.base@17.0.15)
 113:            49           1176  java.util.Arrays$ArrayList (java.base@17.0.15)
 114:            24           1152  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.15)
 115:            48           1152  javax.management.ObjectName$Property (java.management@17.0.15)
 116:            42           1048  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@17.0.15)
 117:             1           1040  [Ljava.lang.Byte; (java.base@17.0.15)
 118:             1           1040  [Ljava.lang.Integer; (java.base@17.0.15)
 119:             1           1040  [Ljava.lang.Long; (java.base@17.0.15)
 120:             1           1040  [Ljava.lang.Short; (java.base@17.0.15)
 121:            53           1000  [Lsun.reflect.generics.tree.TypeArgument; (java.base@17.0.15)
 122:            31            992  com.sun.tools.javac.code.Lint$LintCategory (jdk.compiler@17.0.15)
 123:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.15)
 124:            31            992  javax.management.ObjectName (java.management@17.0.15)
 125:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@17.0.15)
 126:            24            960  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@17.0.15)
 127:            20            960  java.util.WeakHashMap (java.base@17.0.15)
 128:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.15)
 129:            19            912  javax.management.openmbean.ArrayType (java.management@17.0.15)
 130:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@17.0.15)
 131:            56            896  com.sun.tools.javac.util.Context$Key (jdk.compiler@17.0.15)
 132:            28            896  com.sun.tools.javac.util.JCDiagnostic$Warning (jdk.compiler@17.0.15)
